SMILES,MLM_Pred,HLM_Pred
C=CCCC(CN1C[C@H]2CC=CC[C@H]2C1)Oc1ncc(Cl)cn1,24.95,51.9
CCOCCOC1CCN(S(=O)(=O)c2cn(C)cn2)CC1,56.69,78.62
Oc1ccccc1O/C(=C/n1ccnc1)c1ccccc1,26.18,44.82
COc1nc2cc(C)ccc2cc1CN(C)C1(C)CCS(=O)(=O)C1,14.68,33.63
CC(C)n1nc(-c2nnc(-c3cccc(Br)c3)[nH]2)c2ccccc2c1=O,41.62,53.6
Cc1ccsc1C1Nc2ccc3ncccc3c2C2=C1C(=O)CCC2,18.39,27.07
CC(=O)c1c(Nc2ccc(F)cc2)nn(-c2ccccc2)c1C,23.1,38.25
COc1ccc(-c2cc(-c3nc4c5c(ncn4n3)CCC5)n[nH]2)cc1,34.53,51.99
Cc1c(C)n(CCN2CCOCC2)c2nc3c(c(N)c12)CCCC3,19.03,46.71
Cc1cc(C)c(N2CC(=O)N(c3c(C)cc(C)cc3C)CC2=O)c(C)c1,13.48,12.9
N#Cc1c(N)c(-c2ccccc2)c(F)c2ccccc12,39.06,66.69
CC(CC(=O)c1cccs1)NC(=O)C(C)n1cncn1,60.49,76.31
Cc1nc[nH]c1-c1nccn1[C@H]1CCc2ccccc21,21.69,46.16
Cc1cc(C)cc(-n2nc(C(=O)N(CC(N)=O)CC(C)C)cc2C)c1,27.12,47.11
Cn1ncc2cc(-c3ccc(C(C)(C)C)cc3)c(-c3ccc(C(C)(C)C)cc3)cc21,43.63,63.63
CCn1nc(C)c(CNC(=O)NCCCOC)c1C,60.05,91.01
COC(=O)C1(C(=O)OC)C[C@@H](c2ccccc2)c2ccc(N(C)C)cc2[C@@H]1CC(=O)C(C)(C)C,17.43,20.37
O=C(c1c2c(nc3ccccc13)C(=O)N(C1CCCCC1)C2)N1CCN(C2CCCCC2)CC1,14.4,26.38
C/C(=C/c1cnc2ccsc2c1)c1cnccn1,15.34,30.03
C/C(=C\c1ccc(C(=O)O)cc1)CN1CCN(c2ccccn2)CC1,65.97,83.41
c1ccc(-c2ccc3c(C4CCCC4)cncc3c2)cc1,15.43,31.56
Cc1ccccc1N(CC(=O)N1CCN(C/C=C/c2ccccc2)CC1)S(C)(=O)=O,14.78,27.32
Cc1cc(S(=O)(=O)Nc2c[nH]c(=O)c(C)c2)sc1Cl,52.35,68.94
COc1cc(C#N)cc(Br)c1OCCCn1ccnc1,30.58,48.18
Cc1cc(C)n(-c2nc(CCNC(=O)CCn3ccc(=O)[nH]c3=O)cs2)n1,76.41,92.04
Fc1ccc(-c2cc3c(cn2)sc2ccccc23)cc1,28.0,49.7
Cc1ccccc1-c1nc2ccccc2cc1Cn1nc(N2CCC(O)CC2)c2c(N)ncnc21,29.69,48.92
CC1Cc2ccccc2N1S(=O)(=O)c1ccc2c(c1)c(=O)n(CC(=O)N1CCCC1)c(=O)n2C,22.42,27.2
COc1cc(-c2nnc3ccc4ccccc4n23)cc(OC)c1OC,25.71,44.12
COCC1CCCN(c2nnc(-c3n[nH]c4c3CCCC4)n2C)CC1,26.61,45.74
Cc1n[nH]c(CN2CCOc3cc(F)c(Br)cc32)n1,29.06,43.68
COc1cc(C(=O)N2CCCCCC2)c(N(C)S(C)(=O)=O)cc1OC,35.73,63.08
COC(=O)c1c(C)[nH]c(C(=O)CN2CCCC2c2nc3ccccc3s2)c1C,18.04,20.48
COC(=O)CCCn1c(C(=O)c2ccccc2)c(C(C)C)c(=O)[nH]c1=O,20.14,22.11
Fc1ccc(CNc2nc3ncc(Br)nc3s2)cc1,13.53,24.76
COCCNc1nc2c(c(=O)n(C)c(=O)n2C)n1CCOC,60.1,75.94
CC(NS(C)(=O)=O)c1nnc(N2CCC(C(C)(C)C)C2)n1CC1CCCCO1,39.34,57.61
Cc1ccc(-n2ccc3c(cnc4ccn(-n5cnnc5)c(=O)c43)c2=O)cc1C,55.63,74.0
CCc1nc(C)sc1Cn1cc(-c2cn(CC)nc2C)nn1,28.48,49.19
CC1CC(=O)N(c2cccc(Cl)c2)N=C1c1ccc(O)cc1,48.26,67.65
CCOC(=O)N1CCN(Cc2nc(N)nc(Nc3ccc(F)cc3)n2)CC1,39.88,62.06
CCc1ccc(-n2c3nc(=O)nc(O)c-3cc3c(Cl)cccc32)cc1,47.56,75.11
c1ccc(-c2nnc3n2CCN(c2ccc4nccnc4n2)C3)cc1,34.58,65.23
Cc1ncc(CN(C)c2nnc(C)c(C)c2C#N)s1,41.21,68.24
COc1cc(Br)ccc1C1NCCc2c1[nH]c1ccccc21,40.57,70.46
Cc1nn(C(C)(C)C)c(C)c1S(=O)(=O)N1CC(C)OC(C)(C)C1,32.31,45.81
O=C(NCc1ccncc1)c1cc(-c2ccc(Br)s2)n[nH]1,39.26,48.2
O=c1ccccn1Cc1nc2cc(Cl)ccc2n1CCO,52.09,78.31
Cc1cc(C)c2c(=O)n(CC(=O)NCc3ccc4c(c3)OCO4)c(=O)n(-c3ccccc3)c2n1,31.26,48.44
Cn1nc(Br)nc1N1CCC(O)CC1,69.25,75.02
CC(C)(C)CCNc1ccc(CNS(C)(=O)=O)cc1,31.21,64.98
COC(=O)CC(c1cc2ccccc2[nH]c1=O)c1c(Cc2ccccc2)[nH][nH]c1=O,32.5,37.3
CCn1ccc2cc(C(=O)N3C[C@@H](CN4C[C@@H](C)O[C@@H](C)C4)[C@@H](CO)C3)ccc21,64.36,85.0
Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)n(Cc3cc(Cl)cc(Cl)n3)c(=O)n2Cc2cc(Cl)nc(Cl)n2)c1,32.79,40.49
N=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,67.56,81.63
CC1=C2C(CCS2(=O)=O)CC2(C1)C(=O)OC(C)(C)OC2=O,55.57,76.69
CSc1cc(=O)oc2c(Cl)ccc(Cl)c12,35.22,55.41
Cc1ccc(N2N3C(=O)OC4(C)CCC(C2(C)C)C34C)cc1,10.15,21.3
Clc1ccc(-c2nc3cnc4ccccc4c3s2)cc1,27.73,48.69
O=S(=O)(NCCNCC1(O)CNCCOC1)c1ccc(Cl)cc1,73.06,81.94
CC1CC(N(C(=O)Nc2ccc(Cl)c(Cl)c2)c2ccccc2)c2ccccc2N1C(=O)Nc1ccc(Cl)c(Cl)c1,39.18,57.21
CCNC(=O)N1CCC(CCOC)(NC(=O)NCC2CCCO2)CC1,76.72,97.15
O=C(CCCOc1ccc(F)cc1F)Nc1ccc2nc[nH]c(=O)c2c1,48.44,66.89
Cc1nn(C)c(C)c1CN(C)S(=O)(=O)c1c(C)n[nH]c1C,52.08,63.3
COc1cc2c(c(OC)c1OC)-c1c(cc(OC)c(OC)c1OC)C[C@](C)(O)[C@@H](C)C2,23.97,29.77
Fc1ccc(-c2ccc3ccnc(N4CCOCC4)c3c2)cc1Cl,28.6,47.18
CCS(=O)(=O)Nc1cccc(-c2cc(=O)n(-c3ccc(Cl)c(C#N)c3)nc2C(C)C)c1,37.02,49.97
COc1ccc(-c2cc(-c3nc4c5ccccc5ncn4n3)n[nH]2)cc1,34.5,55.16
CCn1c(=O)c(C(=O)N2CCOCC2)nn(-c2ccc(S(C)(=O)=O)cc2)c1=O,78.55,79.87
Cc1ccc(N2C(=O)C(=N)c3c2sc(C)c3C)cc1,32.82,44.37
CC(C)(C)c1n[nH]c(C2CN(C(=O)C3CCOC3)CCO2)n1,70.69,78.7
Cn1ncc(C(=O)O)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,73.58,71.23
Cc1ccc(-c2noc3c(N(C)Cc4ccccc4)ncnc23)cc1,13.59,25.85
COc1ccc(Cl)cc1NC(=O)c1cc(S(=O)(=O)N2CCc3ccccc32)cn1C,17.07,19.1
CC(=O)c1c(O)c(-c2ccc(Cl)cc2)c[nH]c1=O,63.04,66.57
CC(C)CNc1oc(/C=C/c2cccs2)nc1C#N,10.93,17.92
Cc1ccc2nc3c(cc(C(=O)NCCCn4ccnc4)n3C)c(=O)n2c1,68.03,93.03
Cc1nn(C)c2ncnc(N3CC(C)(C)N(C)C[C@@H]3C)c12,61.94,86.91
Cc1cccc(C)c1NC(=O)C1(NC(=O)c2cc[nH]n2)CCCCC1,38.83,58.18
O=C(CN1C(=O)c2ccccc2N2C(=O)c3ccccc3C12)Nc1ccncc1,55.31,71.65
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)NCC(Cc1ccccc1F)c1ccccc1,58.1,63.09
COc1cc(C(=O)N2CCN(C)CC2)c(N(C)S(C)(=O)=O)cc1OC,66.82,87.93
Cc1ccc(N(CCO)C2=NS(=O)(=O)c3ccccc32)cc1,51.04,72.66
CCc1nc(CNc2ncnc3cc(Br)sc23)co1,14.26,25.08
CNc1nc(NC(C)(C)C)nc(NC(C)(C)C)n1,29.84,58.1
Cc1nc(CN2CCN(c3cnc4ccccc4n3)CC2)oc1C,14.79,43.26
CCOC(=O)c1cccc(NC(=O)CC2C(=O)N(c3ccc(Cl)cc3)C(=O)N2C2CCCC2)c1,27.9,36.09
CN(C)c1ccc2oc(-c3cc(-c4cnn(C5CCNCC5)c4)cnc3N)nc2c1,47.47,73.52
CCCN(CCC)c1nc(N)nc(-c2noc(C)n2)n1,25.65,54.15
CC(=O)c1c(NCc2ccc(Cl)cc2)n(C)c2ccccc2c1=O,18.72,22.56
O=S(=O)(NC1CCCCC1)c1ccc(-c2nnc(C3CCC3)o2)s1,19.36,37.73
CNC(=O)c1cc(Br)nn1-c1ncccc1Cl,47.38,52.9
COC(=O)c1ccc(Cn2cc(-c3nc(-c4cnccn4)no3)ccc2=O)o1,38.25,53.38
CC(C(=O)Nc1ccc2c(c1)CCC2)n1nc(-c2ccc3c(c2)OCCO3)ccc1=O,26.39,38.43
CC(C)(C)NC(=O)NC(=O)CN1CCCC1CN1CCCCC1,57.15,83.16
Cc1nc(-c2ccccc2)nc2sc3c(=O)[nH]cnc3c12,39.16,63.64
CCOc1ccc(OCC)c(NC(=O)c2cc(S(=O)(=O)N3CCCCC3)c[nH]2)c1,23.85,41.48
Cc1nc(CCNCc2csc(-c3ncccn3)n2)cs1,26.48,58.58
CCN(CC)CCNc1c2c(nc3cc(-c4cccc(F)c4)nn13)CCCC2,15.79,34.4
COCCOc1cc(=O)n2c(c1C(=O)NC1CCCCC1)CCOCC2,60.27,84.26
CCCC1(Cn2ccnc2-c2nccn2C)CCC1,14.52,45.14
COc1ncnc(N)c1CNCCC1=CCOCC1,63.01,91.33
O=C(CC1NCCNC1=O)OCCc1ccccc1,57.35,71.24
CCc1nnc(NCc2ccccc2F)c2cc3sc(C)cc3n12,15.25,24.51
Cc1cc(N2CCCC2c2cc(C)on2)nc(N)n1,25.62,55.74
Cc1cc(C(O)CN2CCN(c3ccc(F)cc3F)CC2)c(C)s1,16.24,31.24
[H][C@@]1([C@@H](Oc2ccccc2OCC)c2ccccc2)CNCCO1,34.01,60.22
O=C1C=C(N(Cc2ccc(Cl)nc2)C2COC2)CO1,61.91,81.42
CC1CCCC(C)C1NC(=O)Nc1cc(C#N)cn1C(C)(C)C,41.6,61.13
Cc1ncsc1CCS(=O)c1ccc(S(C)(=O)=O)cc1,20.71,45.69
O=S1(=O)CC2Sc3ncnc4ncn(c34)C2C1,81.81,87.16
O=[N+]([O-])c1c(Nc2cc(F)cc(Cl)c2)ccc2nonc12,40.77,56.91
COC(=O)C1(C(=O)OC)C[C@@H](c2ccccc2)c2ccc(N(C)C)cc2[C@@H]1CC(=O)c1ccccc1,17.37,17.09
CC(=O)Nc1cccc(C2CCN(C(=O)c3cc4cc(-c5ccc(Cl)cc5)c5ccccc5c4s3)CC2)c1,37.53,54.32
C=C(C)C1Cc2c(C)nn(-c3cccc4ccccc34)c2C1,20.73,34.16
O=C(CCn1c(Cc2ccccc2F)nc2cc(Cl)c(Cl)cc21)NCCN1CCOCC1,22.68,34.92
CC1CCCC(=O)CCC/C=C/c2cc3c(c(O)c2C(=O)O1)C(c1ccc(OCC(N)=O)cc1)CC(=O)O3,47.75,63.9
CCN(CC)C(=O)c1sc(NC(=O)c2cc(OC)cc(OC)c2)c(C(=O)OC(C)C)c1C,19.22,29.09
CC(C)COc1cc(=O)n2c(c1C(=O)NCCCN1CCOCC1)CCCCC2,41.26,70.82
CCOC(=O)C1=C(c2ccccc2)c2cc3c(cc2C1=O)OCO3,34.0,43.86
CC(C)CC1(C(=O)N2CCC(N(C)CC(=O)O)CC2)CCCC1,60.19,73.07
Cc1ncn(-c2cc(NCCNC(=O)C(C)(C)C)ncn2)c1C,60.59,91.7
NC(=O)CCN(Cc1ccccc1)C(=O)c1ccccc1OCc1ccccc1,13.27,21.06
Cc1cnc(C2CC2)n1C1CCN(C(=O)c2ccoc2)CC1,40.43,71.42
Cc1cc(CC(C)n2ccnc2-c2ccc(C)o2)[nH]n1,26.88,48.76
O=C(NCC1OCCc2sc(F)cc21)c1ccn2nnnc2c1,72.92,78.41
O=C(Nc1nc2ncc(Br)nc2s1)c1ccc(Cl)cc1,26.76,38.82
c1ccc(-c2nc3ccccc3nc2N2CCCC2)cc1,10.93,22.73
Cc1ccccc1NCc1cc(=O)n2nc(-c3ccccc3C)nc2[nH]1,32.6,53.01
O=C(C(Nc1ccc(N2CCCS2(=O)=O)cc1)c1ccccc1)N1CCCC1,24.1,42.53
Cc1ccc(-n2nc(C)c(NCc3cnn(C)c3)c2C)cc1,19.94,44.36
Fc1ccc(-c2cc(-c3nc4c5c(ncn4n3)CCC5)[nH]n2)cc1,38.44,57.66
COC(=O)c1ccc(C(=O)Nc2cc(F)ccc2NC(C)C)[nH]1,17.96,22.7
O=C(CNC(=O)Cc1ccccc1)NCC(=O)OCc1cccc(C(=O)c2ccccc2)c1,14.91,17.93
COc1cc(=O)[nH]cc1C(=O)NC1CCN(c2c(F)cccc2F)C1,72.74,85.96
O=C(Cn1ccc2c(=O)[nH]ccc21)Nc1ccccc1Br,47.73,58.64
CC(C)n1nc(O)c2c1NC(=O)CSC2c1ccc(C(=O)O)cc1,83.49,82.74
O=C(O)CCCCC/N=C1\CCc2ccccc2N1,57.26,74.19
CCCNC(=O)[C@H](CC(C)C)NC(=S)NCCC,35.97,58.36
CC(C)Cn1c(NCCc2ccccc2)nc2c1c(O)nc(=O)n2C,35.44,57.84
CCN(c1ccccc1)c1nc(N(CC)c2ccccc2)[nH]c(=O)n1,19.92,36.18
Cc1cnn(CC2CN(c3nccn4nc(C)cc34)CCO2)c1,44.85,60.99
Cc1cc(Cl)cc2c(=O)[nH]c(-c3cc(Br)nn3-c3ncccc3Cl)nc12,48.61,62.57
CC(C)(C)C1CCc2c(sc(NC(=O)Cc3ccccc3)c2C#N)C1,17.83,29.95
O=C(NCC1(c2cccs2)CCOCC1)c1ccc2ncsc2c1,14.91,25.94
Nc1n[nH]c2nc(N3CCCC3)c3c(c12)CCN(C1CCCCC1)C3,25.19,52.94
c1ccc2c(c1)Cc1cc(-n3nnc4ccccc43)ccc1-2,24.46,45.01
Cc1ccn(CCC(=O)N(Cc2ccncc2)Cc2cccc(OCCc3ccc(F)cc3)c2)n1,11.98,14.53
COc1cccc(-c2[nH]ncc2CNC2(c3ccccc3F)CCCC2)c1,18.27,35.92
O=C(c1ncccn1)N1C2CCC1Cn1c(nnc1-c1ccccc1)C2,61.97,85.31
Nc1c(-c2nc(-c3cccc(Br)c3)cs2)nnn1-c1ccc(F)cc1F,50.82,77.79
Cc1ccc(Nc2n[nH]c(N)c2S(=O)(=O)c2ccccc2)cc1,35.95,58.37
Cc1ncc2c(c1-c1nn[nH]n1)-c1ccccc1CC2,33.47,48.74
CN(C)Cc1nnc([C@H]2C[C@H](NC(=O)C3CCC(C(C)(C)C)CC3)C2)n1C,44.39,66.6
CC1(C)Cc2nc(N3CCCC3)c(C#N)cc2CO1,25.97,47.71
CC(O)c1ccc(N2CCN(CCCNC(=O)c3cc4ccccc4s3)CC2)cc1,18.27,29.93
O=C1CC(c2ccc3c(c2)OCO3)c2c(n[nH]c2-c2ccccc2)N1,25.41,37.14
COc1cccc(C2CC(c3cccs3)=NN2S(C)(=O)=O)c1OC,19.79,36.46
CCOC(=O)c1cc2n(c1)CCCc1c(N)n[nH]c1-2,36.17,51.66
O=C(c1c2c(nc3ccccc13)C(=O)N(C1CCCCC1)C2)N1CCN(c2ccccn2)CC1,15.22,23.11
CCOC(=O)c1cc(CC)sc1NC(=O)COC,14.23,24.64
Cc1cc(C)n2nc(C(=O)N3CCCC34CC=CC4)cc2n1,41.93,69.95
CCCN(C(=O)c1cc(S(=O)(=O)N2CCc3ccccc32)cn1C)c1ccccc1OC,8.42,6.03
O=c1[nH]c2ccc(NCc3ccc(-c4ccccc4)cc3)cc2[nH]1,26.75,44.75
Cn1c(=O)nc(O)c2c1nc(NCCN)n2CC(O)COc1ccccc1,68.64,81.83
CCCn1c(=O)oc2cc(NC(=O)Nc3ccccc3OCC)ccc21,22.92,39.68
COCCN1CCS(=O)(=O)c2c(Cl)c(F)nc(Oc3ccc(OC)cc3)c21,17.91,27.28
Cc1noc(C)c1Cc1c(C(=O)N2CCC(C3CCNC3)CC2)noc1C,37.35,48.99
CC1Cc2ccccc2N1C(=O)c1ccc(=O)n(CCC(=O)N2CCN(c3ccccn3)CC2)n1,26.64,36.18
CN(C)c1nc(N2CCOC3(CCCC3)C2)ncc1F,24.9,48.77
O=C(CCc1nnc[nH]1)Nc1cc(C2CCCCCC2)[nH]n1,67.3,83.26
Cc1nn(C)cc1-c1cc(-c2cn(C)nc2C)n(CC(=O)N(C)Cc2ccn(C)n2)n1,47.18,57.17
Cc1ccc(Cn2cccc(NC(=O)NC3CCOC3C)c2=O)cc1,62.23,79.0
Cc1cc(C(=O)NCCCN2CCCC2=O)cs1,50.28,79.59
Cc1onc(-c2ccccc2)c1C(=O)Nc1ccon1,31.71,56.09
O=C1CC(C2CCCCC2)c2cnn(Cc3cccs3)c2N1,11.76,27.14
Cc1cc(C(=O)O)nn1-c1ccc(S(C)(=O)=O)cc1,87.07,92.99
NC(=O)[C@@H]1C[C@@H](F)CN1Cc1cc2c(cc1Br)OCO2,40.66,59.65
CCOC(=O)C(CC)c1cc(C#N)c(C#N)cc1O,36.64,54.14
CCC(O)(c1ccccc1)c1cc(Cl)ccc1N,29.31,60.19
CCC(C)N(CC(=O)N1CCN(c2ccc(-c3ccc(C)cc3)nn2)CC1)C(=O)c1ccccc1F,17.64,22.38
CN1Cc2ccccc2N(CCN2CCC(c3ccc(Cl)cc3C(=O)NCCN3CCN(C(=O)OC(C)(C)C)CC3)CC2)C1=O,19.82,25.57
CC(C)=CCN1CCN(c2nc3ccccc3s2)CC1CCO,17.67,40.59
C/C(=C\COc1ccc2ccc(=O)oc2c1)CC/C=C(\C)CCC(O)C(C)(C)O,28.3,43.92
CCCN(CC(=O)OC(C)(C)C)C(=O)Cc1c(C)[nH]c2ccnn2c1=O,36.6,56.12
CN(C)CCCOc1ccc(CN2CCC(NC(=O)c3ccco3)CC2)cc1,39.89,75.77
CCc1nc(-c2ccncc2)cc2c1sc1ccccc12,19.0,33.68
COc1ccc(-n2c(-c3ccc(OCCN(C)C)cc3)nn(Cc3ccccc3)c2=O)cc1,27.99,47.63
Cc1ccc(OCCCCN(C)C)c(C(C)(C)C)c1,20.07,48.73
COc1cc2c(c(OC)c1)C1(CC(C)(C)N2)CC(C)(C)Nc2cc(OC)cc(OC)c21,17.36,30.39
Cc1ccc(S(=O)(=O)N2CCN(c3ncnc4c3nnn4Cc3ccccc3)CC2)cc1,19.05,24.78
COC(=O)NC12CCCC(C1)c1ccc(=O)[nH]c1C2,63.63,80.71
Cc1sc(C(=O)O)cc1S(=O)(=O)N1CCCC2(CCS(=O)(=O)C2)C1,80.68,82.2
COc1ccc(CN(Cc2ccc(OC)cc2)c2ncnc3c2[nH]c(=O)n3[C@H](C)c2cc3ccccc3nc2-c2ccccc2C)cc1,27.4,38.94
C1=NN(c2ccccc2)C2c3ccccc3OCC12,13.97,37.07
Cc1cc(Br)c2[nH]cc(CCN)c2c1,36.19,65.14
Cc1cc(C)c(S(=O)(=O)N2CCN(c3cc(C)nc(N4CCCC4)n3)CC2)c(C)c1,10.04,12.79
Cc1c(C(=O)O)[nH]c(CCNC(=O)OC(C)(C)C)c1S(N)(=O)=O,80.27,83.06
CN(/C=N/c1c(F)c(F)cc(F)c1F)/C=N/c1c(F)c(F)cc(F)c1F,41.45,72.53
Cc1ccc2c(c1)c(N1CCCC1=O)c(C(=O)NCC1CCCO1)n2C,46.64,70.88
O=C(CN1N=C(c2ccccc2)Cn2c(cc3ccccc32)C1=O)N1CCN2CCCC2C1,26.01,37.8
COc1ccc(-c2cn3c4ccccc4nc3n2CCN2CCN(C)CC2)cc1,29.98,61.1
COCc1cc(C)nc2sc(-c3nc(N)nc(N(C)C)n3)c(N)c12,21.56,50.11
CC(=O)Oc1ccc(/C=C/c2cc(OC(C)=O)cc(OC(C)=O)c2)cc1,27.54,32.98
COC(=O)c1c(CCc2ccc(OC)cc2)nc(CCc2ccccc2)c(O)c1C(=O)OC,21.87,25.02
COc1ccc2nc(O)c(-c3c4oc5cc(O)ccc5c4nc4c3c(=O)[nH]n4C3CCCCCCC3)cc2c1,37.77,56.99
CN1CCCc2c(c3cc(F)ccc3n2-c2ccc(F)cc2)C1,35.89,74.65
Cc1csc(C2=C(O)CN(CCC(c3ccccc3)c3ccccc3)C2=N)n1,23.43,33.0
CC(Nc1oc(/C=C/c2cccs2)nc1C#N)c1ccccc1,15.95,26.71
Cc1cc(Nc2cnccn2)cc(C2CCCN2C(=O)CC2(O)CCCCC2)n1,41.05,63.3
O=C(NC1(c2ccccc2F)CCCC1)c1cccc(N2CCCC2=O)c1,21.32,36.58
Oc1c2ccc(-c3ccco3)nc2nn1-c1ccccc1,21.95,47.52
O=S(=O)(c1ccc2c(c1)OCCO2)n1cnc2ccccc21,11.45,27.55
Cc1ccc(-c2sc3cc(Br)ccc3c2-c2ccc(C)cc2)cc1,52.99,75.95
COc1ccc(Cn2nc(-c3ccc(O)cc3)n(-c3ccc(OCCN(C)C)cc3)c2=O)cc1,43.74,67.25
CC(C)CCNC(=O)c1c(OCC2CC2)cc(=O)n2c1CCOCC2,42.01,68.75
Cc1cccc(S(=O)(=O)NCCCC(C)C(=O)O)c1Br,65.39,72.04
O=C(Nc1cc(Cl)ccc1Cl)c1c2c(nn1C1CCS(=O)(=O)C1)CCC2,35.16,51.76
CCOC(=O)C1C2CN(c3ccc(C(=O)NCCNC(=O)N4CCN(C)CC4)cn3)CC21,61.68,77.39
O=c1c(-c2nc3ccccc3nc2O)c[nH]n1-c1ccccc1,53.73,74.33
CC(C(=O)O)n1ccc2c(cnc3ncnn32)c1=O,85.82,83.91
COc1ccc2c(c1)OC1c3ccc(O)cc3OCC21,14.85,38.73
c1cc2c(cc1OCc1cn(CC3CCCNC3)nn1)CCC2,36.81,61.75
O=C1c2ccccc2C2N=C(O)c3ccccc3N12,60.24,77.53
O=C(O)c1ccc(C2(c3ccc(C(=O)O)cc3)OC(=O)c3ccccc32)cc1,79.97,96.73
CCc1cc2c3c([nH]c2cc1S(=O)(=O)N1CCN(C)CC1)CC(C)(C)CC3=O,27.4,37.65
COc1cnc(C(=O)N2CCCC23CCOC3)nc1,66.81,86.01
COc1ccc(C(=O)N2CCC(n3c(C)cnc3C3CCC3)C2)cc1,23.26,48.95
CCn1cc(NS(=O)(=O)c2cn(C)c(=O)n(C)c2=O)ccc1=O,81.88,83.44
c1ccc(OCC2=NN=C(COc3ccccc3)NN2)cc1,40.42,59.89
Cc1cccc2c1ccn2CC(=O)N1CCNC(=O)C1,70.69,91.12
COCCc1noc(CN2CC[C@H]3[C@H](C2)OCc2cnnn23)n1,65.03,74.94
CCCc1c(C(=O)NC2CC2)nnn1-c1ccc(NC(=O)CC(F)(F)F)cc1,50.04,63.88
Cc1cccc(NC(=O)C2ON=CC2C(=O)N2CCOCC2)c1,78.78,85.26
Cc1nn(C)cc1Nc1nnc(Cn2nc(C(F)(F)F)c(Cl)c2C)s1,47.07,59.4
CN(C)S(=O)(=O)N1CCN(Cc2c(O)occ(CN3CCOCC3)c2=O)CC1,69.82,79.62
COc1ccc(/C=N/n2cnnc2)cc1COc1cc(C)c(Cl)cc1C(C)C,27.38,34.08
CCOC(=O)Cc1c(C)nc2cc(-c3ccc(C)cc3)nn2c1O,41.53,60.66
c1ccc(OCC2CN(c3ccc4nnc(-c5ccsc5)n4n3)CCO2)cc1,24.98,36.05
CC1(C)CC(=O)c2c(O)cc(OCC(=O)c3ccc(N4CCCC4)cc3)cc2O1,29.77,40.98
COc1nc(NCCc2c[nH]c3ccccc23)nc(Nc2ccc3[nH]ncc3c2)n1,26.91,50.24
CN(C)CCCOc1ccc(CN2CCC(NC(=O)c3ccc(Br)o3)CC2)cc1,37.62,67.91
CCOc1cc(=O)n2c(c1C(=O)N1CCC3(CC1)OCCO3)CCCCC2,57.66,76.98
