SMILES,MLM_Pred,HLM_Pred
CCN1/C(=C/C=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,29.5,36.27
OCCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CCO)=C2c2ccccc2)Sc2ccccc21,24.8,34.37
CN(C)c1ccc(/C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[o+]c32)cc1,47.8,70.04
CCN1/C(=C/C=C2\CC/C(=C\C=C3/Sc4ccccc4N3CC)C2=O)Sc2ccccc21,22.52,30.63
CCN(CC)c1ccc(C=CC=CC=Cc2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1,13.35,19.34
O=C1NC(=S)S/C1=C/C=C/C=C/c1ccc([N+](=O)[O-])cc1,59.69,65.05
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO[Si](C)(C)C(C)(C)C,15.29,23.33
CCO/C=C1/CCCc2cc3c([o+]c21)/C(=C/OCC)CCC3,29.58,42.84
CN(/C=C/C=C/C=C/C1=[N+](C)c2ccccc2C1(C)C)c1ccccc1,13.88,21.14
CC(C=CC1=C(C)C(=NO)CCC1(C)C)=CC=CC(C)=CC(=O)O,60.83,67.62
CN(/C=C/C=C1\CC/C(=C\C=C\N(C)c2ccccc2)C1=O)c1ccccc1,16.74,26.6
CN(C)C=CC=CC=CC(=O)c1ccc(C(=O)C=CC=CC=CN(C)C)cc1,19.56,26.6
CCN(CC)CC.CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,29.77,35.59
[C][C]([C])[N]C(c1ccc(N2[C][C][C][C]2)cc1)=c1ccc(=C(C#N)C#N)cc1,33.2,43.48
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,17.6,20.15
O=C1/C(=C\C=C(Cl)Cl)CCC/C1=C\C=C(Cl)Cl,35.72,45.86
CN(C)c1ccc(/C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[s+]c32)cc1,47.53,68.89
CN1C(=O)C(=CC=CC=Cc2ccc([N+](=O)[O-])cc2)SC1=S,34.89,38.15
N#CC(C#N)=c1ccc(=C(C#N)c2ccc(N3[C][C][C][C]3)cc2)cc1,30.18,40.35
CN(C)C=CC=CC=C1c2ccccc2-c2c(-c3ccccc3)cc(-c3ccccc3)[o+]c21,37.87,57.51
CN(C)c1ccc(/C=C2\CCC/C(=C/c3ccc([N+](=O)[O-])cc3)C2=O)cc1,28.96,38.98
N#Cc1c2cc3c4c(c2[o+]c2c5c6c(cc12)CCCN6CCC5)CCCN4CCC3,20.74,32.52
CN(C)/C=C/C=C1\CC/C(=C\C=C\N(C)C)C1=O,45.18,75.54
N#CC(C#N)=c1ccc(=C(C#N)c2ccc(N3[C][C][C][C][C]3)cc2)cc1,31.79,42.38
Cc1ccc(C(=O)c2c(/C=C/c3ccc(N(C)C)cc3)oc3cc(C#N)c(C#N)cc23)cc1,43.98,61.02
COC(=O)/C(C(C)=O)=C(\C=C\C=C\C=C\N(C)C)N(C)C,19.37,24.84
CCN1C=C/C(=C/C=C\c2cc[n+](CC)c3ccccc23)c2ccccc21,25.57,40.25
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC=NNc1nc2ccccc2s1,19.62,23.73
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)ON2C(=O)CCC2=O)C(C)(C)CCC1,23.61,30.2
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)N[C@@H](CC(C)C)C(=O)O,26.15,33.85
CC(=O)OC/C=C(C)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C,16.85,22.88
CN1/C(=C/C=C/c2cc(-c3ccccc3)cc(-c3ccccc3)[o+]2)C(C)(C)c2ccccc21,39.37,58.54
CC1=C(C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O,24.57,28.78
CN(C)c1ccc(C2=C([O-])c3nc4ccccc4cc3C2=O)cc1,32.52,47.39
O=C1/C(=C\C=C(Cl)Cl)CC/C1=C/C=C(Cl)Cl,37.42,47.03
CC(C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC(C)=CC(=O)O,44.87,53.15
COc1ccc(N/C=C/C=C/C=C2\SC(=S)N(C)C2=O)cc1,28.24,42.49
CN1/C(=C\C=C\C=C\C2=[N+](C)c3cc4oc5ccccc5c4cc3C2(C)C)C(C)(C)c2cc3c(cc21)oc1ccccc13,31.9,46.51
N#Cc1c2cc3c4c(c2[o+]c2c5c6c(cc12)CCCN6CCC5)CCCN4CCC3.[O-][Cl+3]([O-])([O-])[O-],49.31,69.4
CN(C)c1ccc(/C=C/c2cc(-c3ccccc3)[se+]c3ccccc23)cc1,37.11,57.25
CCC1=C(/C=C/c2sc3ccccc3[n+]2CC)CCC/C1=C\C=C1\Sc2ccccc2N1CC,22.75,31.74
CCN1/C(=C/C=C/C=C/C2=C/C(=C/c3sc4ccccc4[n+]3CC)CC(C)(C)C2)Sc2ccccc21,22.09,30.38
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,39.25,51.37
CN(C)c1ccc(/C=C2\CCc3c(-c4cccs4)cc(-c4cccs4)[s+]c32)cc1,47.6,67.21
CC(C)(C)C1=CC(=CC=Cc2cc(C(C)(C)C)c3ccccc3[o+]2)Oc2ccccc21,42.42,62.89
CN(C)c1ccc(/C=C/c2cc(C(C)(C)C)c3ccccc3[o+]2)cc1,33.13,51.39
CCN(CC)c1ccc(C=CC=CC=Cc2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1.[Br-].[Br-],16.51,19.82
COC1CC(=O)C2CCCCC(C)OC(=O)C3=C(C=CC=CC=CC(=O)O)OC1C32,74.05,82.53
CC(=O)OC/C=C(C)\C=C\C=C(C)/C=C/C1=C(C)CCCC1(C)C,17.07,23.17
C=Cc1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(C=C)cc3)=c3/cc/c4n3[Co]n3c2ccc3/C(c2ccc(C=C)cc2)=C2/C=CC(=N2)\C=4c2ccc(C=C)cc2)cc1,62.67,92.22
CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,16.6,22.49
[Na+].[Na+].Nc1ccc2cc(cc(c2c1)S([O-])(=O)=O)S([O-])(=O)=O,64.22,79.54
N#CC(C#N)=Cc1cc2c3c(c1)CCCN3CCC2,13.8,22.24
O=C1/C(=C\C=C(Cl)Cl)CCCC/C1=C\C=C(Cl)Cl,34.65,45.43
CCN1CCS/C1=C/C=C/C1=[N+](CC)CCS1,12.7,32.54
CC(=O)N(/C=C/C=C/C=C1\Sc2ccccc2C1=O)c1ccccc1,24.01,33.97
CCN1/C(=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],22.83,32.19
N#CC(C#N)=c1ccc(=C(C#N)c2ccc(N3CCCC3)cc2)cc1,22.44,29.8
CCN1/C(=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21,17.65,25.5
CN1/C(=C/C=C/C=C/C=C/c2sc3ccccc3[n+]2C)Sc2ccccc21,21.54,32.03
CC(C=CC1=C(C)CCCC1(C)C)=CC=Cc1ccc(C(=O)O)cc1,40.27,52.99
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,17.94,26.61
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C |c:12|,15.21,22.32
CCCCN1C(=O)/C(=C/C=C/C=C/N(C(C)=O)c2ccc(OC)cc2)SC1=S,18.84,23.85
CCN1/C(=C/C=C(Cl)/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21,28.09,37.1
CCN1/C(=C/C=C/C=C/C2=[N+](CCCCCC(=O)NCCCN=[N+]=[N-])c3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)O)cc4c3C2(C)C)C(C)(C)c2c1ccc1c(S(=O)(=O)O)cc(S(=O)(=O)O)cc21,46.39,59.37
CC(C)(C)C1=CC(=CC=CC=Cc2cc(C(C)(C)C)[o+]c3ccccc23)c2ccccc2O1,41.75,61.66
CN1c2ccccc2Sc2cc(C=C(C#N)C#N)ccc21,17.55,23.51
C=Cc1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(C=C)cc3)=c3/cc/c4n3[Co]n3c2ccc3/C(c2ccc(C=C)cc2)=C2/C=CC(=N2)/C=4c2ccc(C=C)cc2)cc1,62.22,91.72
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,16.44,25.33
CN1C=CC(=CC=CC=Nc2ccc(C(=O)O)cc2)c2ccccc21,61.17,82.26
CCOC=C1CCCC2=C1OC1=C(C=C(C#N)C#N)CCC1=C2,23.1,32.59
C=CCN1C(=O)/C(=C/C=C/C=C/N(C(C)=O)c2ccc(OC)cc2)SC1=S,26.07,35.95
N#CC(C#N)=C/C=C/C=C/C=C/c1ccccc1,16.72,23.93
CCCC(=O)OCc1ccc(OC(=O)C=C(C)C=CC=C(C)C=CC2=C(C)CCCC2(C)C)cc1,21.23,25.73
[C][N+]([C])=c1ccc2cc3c4c(c2o1)[C][C][C]N4[C][C][C]3,29.21,42.22
[C][C][C]N([C][C][C])c1ccc(C([N][C]([C])[C])=c2ccc(=C(C#N)C#N)cc2)cc1,32.5,40.93
[C][C][C]N([C][C][C])c1ccc(C([N][C][C][O])=c2ccc(=C(C#N)C#N)cc2)cc1,31.21,38.7
CC(=O)N(/C=C/C=C/C=C1\SC(=S)N(CCc2ccccc2)C1=O)c1ccc(C)cc1,17.43,20.09
CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC(=O)O)Sc2ccccc21,38.97,52.28
C[N+]1=C(/C=C/C=C/C=C2/N(CCOCCOCCO)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,9.92,7.3
CCN(CC)CC.CCN1/C(=C/C=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,24.71,29.1
COC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,18.71,22.64
Cc1ccc(C(=O)c2c(C=Cc3ccc(N(C)C)cc3)oc3cc(C#N)c(C#N)cc23)cc1,40.59,56.3
CN(C)c1ccc2c(c1)CC/C2=C1/CCc2c(-c3ccccc3)cc(-c3ccccc3)[o+]c21,50.09,72.02
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,39.28,51.48
COc1ccc(N/C=C/C=C/C=C2\SC(=S)N(CCc3ccccc3)C2=O)cc1,17.54,21.55
N#CC(C#N)=c1ccc(=C(C#N)c2ccc(N3CCCCC3)cc2)cc1,22.27,29.93
CCN1C=CC(=CC=Cc2cc[n+](CC)c3ccccc23)c2ccccc21,20.53,33.93
CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,31.52,38.98
CCN1C(=O)/C(=C\C=C\c2ccc(N(C)C)cc2)SC1=S,17.23,26.92
CN(C)c1ccc(/C=C/C=C2\SC(=S)N(CCc3ccccc3)C2=O)cc1,13.27,14.37
CCN1C(=O)/C(=C\C=C\C=C\N(C(C)=O)c2ccccc2)SC1=S,23.89,32.52
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,39.13,51.21
CN1C(=CC=CC=CC2=[N+](C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,21.2,30.68
O=C1C(=Cc2ccc(C=C3CCC(=Cc4ccco4)C3=O)cc2)CCC1=Cc1ccco1,37.56,54.48
CCCN1/C(=C\C=C\C=C\c2sc3ccccc3[n+]2CCC)Sc2ccccc21,17.99,24.4
CN(C)c1ccc(/C=C/c2cc(-c3ccccc3)c3ccccc3[o+]2)cc1,36.01,56.39
COc1cc(C=CC=C2CCCC(=CC=Cc3ccc(O)c(OC)c3)C2=O)ccc1O,45.74,64.94
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1,27.38,36.72
COc1ccc(N/C=C/C=C/C=C2\SC(=S)N(Cc3ccccc3)C2=O)cc1,18.61,24.87
[C][C][C][C]N([C][C][C][C])c1ccc(C([N][C][C][O])=c2ccc(=C(C#N)C#N)cc2)cc1,33.08,41.0
CCN1/C(=C\C=C2/CC/C(=C\N(C)C)C2=O)Sc2ccccc21,11.58,16.68
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,24.36,32.26
CN(C)c1ccc(/C=C/C=C2\SC(=O)NC2=O)cc1,62.97,73.78
CN(C)c1ccc(C=C2CCCC3=CC4Sc5ccccc5C4[O+]=C23)cc1,16.81,28.33
CN(C)c1ccc(N=Nc2ccc(S(=O)(=O)[O-])cc2)cc1.[Na+],41.19,58.03
[C][C][C][C]N([C][C][C][C])c1ccc(C([N][C]([C])[C])=c2ccc(=C(C#N)C#N)cc2)cc1,34.42,43.27
C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=O |c:9|,14.51,18.82
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,16.36,22.62
CCCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CCC)Sc2ccccc21,19.01,26.01
CCCCN1C(=CC=CC=CC2=[N+](CCCC)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,21.56,30.29
CC1=C(/C=C/C(C)=C/C=C/c2ccc(C(=O)O)cc2)C(C)(C)CCC1,45.75,61.45
CN(C)c1ccc2c(c1)CC/C2=C\c1cc(-c2ccccc2)cc(-c2ccccc2)[o+]1,47.53,69.62
CC(=O)OC1CC(C)(C)C(=C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1,31.99,38.47
CN(C)c1ccc(/C=C/c2cc(-c3ccccc3)c3c([o+]2)-c2ccccc2C3)cc1,48.19,71.05
CN(C)c1ccc(/C=C/C=C2C(=O)c3ccccc3C2=O)cc1,29.92,43.22
CCCCN1C(=O)/C(=C/C=C/C=C/Nc2ccc(OC)cc2)SC1=S,17.79,23.5
CO[C@H]1[C@@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)C=CC=CC=CC=CC(=O)O)CO2,63.87,72.64
CC[n+]1c(/C=C/C=C/C=C/N(C(C)=O)c2ccccc2)sc2ccccc21,17.09,23.79
Cc1ccc(N/C=C/C=C/C=C2\SC(=S)N(CCc3ccccc3)C2=O)cc1,16.83,21.38
CCOC(=O)c1ccc(NC(=O)C=C(C)C=CC=C(C)C=CC2=C(C)CCCC2(C)C)cc1,21.72,26.39
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,31.68,38.68
C[N+]1=C(C=CC=CC=C2N(CCCCCC(=O)[O-])c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,21.35,27.76
CN(C)c1ccc(/C=C2/CCC/C(=C\c3ccc([N+](=O)[O-])o3)C2=O)cc1,30.47,39.83
C=CCN1C(=O)/C(=C/C=C/C=C/Nc2ccc(OC)cc2)SC1=S,22.46,34.26
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,72.37,75.93
CCN(CC)c1ccc(N=Nc2ccc3c(c2)C(=O)OC3=O)cc1,40.1,56.85
